temp_id,LATITUDEDD_NUM,LONGITUDEDD_NUM,bay,bua,forest,island,island_marine,lga,locality,mainland,named_natural_region,postcode,public_land,ridge,sea,vicgov_region,wb_lake,wb_lake_salt,wetland_swamp
3856,-36.21454,146.16851,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3857,-36.13106,146.58504,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3858,-36.23989,146.18493,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3859,-36.24789,146.16815,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3860,-34.81035,141.75958,N,N,Y,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,N
3861,-35.78714,144.35628,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N
3862,-35.76237,144.29628,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3863,-35.78714,144.35628,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N
3864,-36.05142,146.178,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3865,-36.07229,146.19777,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3866,-35.89807,145.01397,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3867,-35.75957,144.29195,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3868,-36.14884,146.18476,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3869,-35.78714,144.35628,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N
